user_id,call_duration,data_usage,complaints,billing_amount,churn
442264,33,8.75,3,120,1
442265,638,6.38,5,68,1
442266,307,3.34,4,147,1
442267,876,7.89,4,73,1
442268,561,14.11,0,85,0
442269,712,4.95,0,56,0
442270,385,14.49,4,113,1
442271,223,5.56,2,81,0
442272,325,8.23,3,78,1
442273,287,13.25,0,106,0
442274,668,3.27,0,136,0
442275,929,11.31,2,10,1
442276,139,8.16,1,104,0
442277,158,14.66,2,20,1
442278,787,7.35,4,53,1
442279,169,10.65,3,96,1
442280,213,3.26,0,71,0
442281,36,6.1,5,58,1
442282,474,7.08,4,20,1
442283,214,4.04,5,23,1
442284,572,14.63,3,117,1
442285,479,1.84,0,98,0
442286,419,12.49,0,69,0
442287,732,6.33,3,23,1
442288,632,10.3,2,98,0
442289,609,14.23,3,15,1
442290,239,12.28,0,96,0
442291,722,5.81,5,76,1
442292,589,7.93,4,115,1
442293,426,8.05,4,56,1
442294,673,3.68,3,59,1
442295,766,13.5,3,78,1
442296,990,9.13,1,16,1
442297,493,9.74,2,91,0
442298,1000,14.13,5,133,1
442299,860,5.32,4,70,1
442300,44,0.24,1,105,0
442301,718,9.14,2,16,1
442302,309,13.76,0,65,0
442303,41,12.93,3,73,1
442304,453,12.26,4,87,1
442305,680,1.96,4,38,1
442306,825,14.26,2,52,0
442307,203,8.39,5,107,1
442308,57,4.41,4,128,1
442309,453,12.08,0,14,1
442310,128,2.49,3,134,1
442311,65,11.29,5,110,1
442312,19,10.17,5,129,1
442313,520,9.41,2,67,0
442314,701,1.74,4,48,1
442315,159,0.27,1,57,0
442316,468,8.28,3,20,1
442317,327,11.76,0,148,0
442318,290,2.82,5,51,1
442319,607,9.65,1,114,0
442320,711,8.11,5,90,1
442321,486,11.87,0,147,0
442322,738,10.21,0,31,0
442323,75,11.9,0,140,0
442324,22,9.57,3,91,1
442325,716,4.11,4,16,1
442326,885,14.72,4,57,1
442327,607,14.7,3,18,1
442328,952,5.44,3,28,1
442329,950,8.76,1,138,0
442330,592,13.43,0,145,0
442331,132,12.65,1,126,0
442332,739,2.19,2,18,1
442333,147,8.09,0,95,0
442334,739,6.69,0,107,0
442335,157,13.09,1,106,0
442336,663,2.29,3,128,1
